stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_2072_330402,,"Kaszów Wielka Droga (nż)","",50.025169,19.736205,,,0,,,
stop_2073_330501,,"Zagacie Górka (nż)","",49.999922,19.696748,,,0,,,
stop_2073_330502,,"Zagacie Górka (nż)","",49.999546,19.6961,,,0,,,
stop_2074_330601,,"Kłokoczyn Szkoła (nż)","",49.995033,19.639394,,,0,,,
stop_2074_330602,,"Kłokoczyn Szkoła (nż)","",49.995156,19.639016,,,0,,,
stop_2076_330801,,"Rusocice Na Brzegu (nż)","",49.999769,19.601966,,,0,,,
stop_2076_330802,,"Rusocice Na Brzegu (nż)","",49.999802,19.601896,,,0,,,
stop_2077_330901,,"Kłokoczyn Machaczki (nż)","",49.99625,19.63181,,,0,,,
stop_2077_330902,,"Kłokoczyn Machaczki (nż)","",49.99625,19.63181,,,0,,,
stop_2078_331002,,"Mały Płaszów P+R","",50.039557,20.000642,,,0,,,
stop_2078_331003,,"Mały Płaszów P+R","",50.039944,19.999492,,,0,,,
stop_2078_331005,,"Mały Płaszów P+R","",50.040203,20.000888,,,0,,,
stop_2079_331101,,"Brzegi Pętla","",50.03147,20.094999,,,0,,,
stop_2080_331201,,"Konary Królowej Polski (nż)","",49.933532,19.914892,,,0,,,
stop_2080_331202,,"Konary Królowej Polski (nż)","",49.933452,19.9155,,,0,,,
stop_2081_331301,,"Mogilany Krótka (nż)","",49.933031,19.906687,,,0,,,
stop_2081_331302,,"Mogilany Krótka (nż)","",49.933581,19.906292,,,0,,,
stop_2082_331401,,"Włosań Centrum","",49.913689,19.902931,,,0,,,
stop_2083_331501,,"Świątniki Górne Skrzyżowanie (nż)","",49.934292,19.966981,,,0,,,
stop_2083_331502,,"Świątniki Górne Skrzyżowanie (nż)","",49.934239,19.967339,,,0,,,
stop_2084_331601,,"Świątniki Górne Bielowicza Szkoła","",49.935151,19.963142,,,0,,,
stop_2084_331602,,"Świątniki Górne Bielowicza Szkoła","",49.935132,19.962246,,,0,,,
stop_2085_331701,,"Świątniki Górne Centrum","",49.934223,19.953178,,,0,,,
stop_2085_331702,,"Świątniki Górne Centrum","",49.934393,19.953999,,,0,,,
stop_2086_331801,,"Świątniki Górne Urząd Miasta i Gminy","",49.934487,19.945441,,,0,,,
stop_2086_331802,,"Świątniki Górne Urząd Miasta i Gminy","",49.934282,19.946741,,,0,,,
stop_2088_332001,,"Świątniki Górne Buk (nż)","",49.935077,19.934336,,,0,,,
stop_2088_332002,,"Świątniki Górne Buk (nż)","",49.935221,19.934509,,,0,,,
stop_2089_332101,,"Rzeszotary Dworska","",49.943548,19.993354,,,0,,,
stop_2089_332102,,"Rzeszotary Dworska","",49.943554,19.993414,,,0,,,
stop_2090_332201,,"Rzeszotary Remiza (nż)","",49.945728,19.972994,,,0,,,
stop_2090_332202,,"Rzeszotary Remiza (nż)","",49.945719,19.973041,,,0,,,
stop_2091_332301,,"Buków Pętla","",49.953043,19.834625,,,0,,,
stop_2091_332302,,"Buków Pętla","",49.953609,19.835101,,,0,,,
stop_2092_332401,,"Chorowice Pętla","",49.949611,19.86947,,,0,,,
